iter	Logloss
0	0.6927843413
1	0.6924770269
2	0.6919749418
3	0.6915697271
4	0.6912133836
5	0.69082376
6	0.6905032745
7	0.6901023747
8	0.6898307358
9	0.6895209259
10	0.6892059881
11	0.6888491996
12	0.6884946033
13	0.688234197
14	0.6879832742
15	0.687590851
16	0.6872298432
17	0.6868440887
18	0.6865663016
19	0.6862778669
20	0.6859873842
21	0.6856627633
22	0.6852716438
23	0.6849998094
24	0.6846953361
25	0.6843849692
26	0.6840452808
27	0.6836776556
28	0.6833845931
29	0.6831502489
30	0.6829348411
31	0.6826780982
32	0.6824246386
33	0.6821902946
34	0.6819518564
35	0.6817183066
36	0.6814364587
37	0.6811196988
38	0.6806971185
39	0.6804697884
40	0.6802630823
41	0.6799896494
42	0.6797014899
43	0.6794392071
44	0.6792304628
45	0.6789796287
46	0.6787260568
47	0.6784307372
48	0.6781527869
49	0.6778385279
50	0.6776300489
51	0.6773853619
52	0.677220093
53	0.6769158363
54	0.6766255731
55	0.6763696444
56	0.6761150166
57	0.6759379905
58	0.6757443765
59	0.6755375278
60	0.6753312335
61	0.6751918755
62	0.674973366
63	0.6747500061
64	0.6746055006
65	0.6744375934
66	0.6741903478
67	0.6739516724
68	0.6737067727
69	0.6735095429
70	0.6732240605
71	0.673010118
72	0.6728206614
73	0.6725857079
74	0.6723826864
75	0.6721499274
76	0.6719781819
77	0.6718194626
78	0.6715274885
79	0.6712657726
80	0.6710779784
81	0.6708327221
82	0.6706180429
83	0.6703941342
84	0.670212488
85	0.6699302485
86	0.66974624
87	0.6695359433
88	0.6693347681
89	0.6691214342
90	0.6688546959
91	0.6686370033
92	0.6683846834
93	0.6681663458
94	0.6679345918
95	0.6677151857
96	0.6674807136
97	0.6673266956
98	0.66714109
99	0.6669695608
100	0.666738928
101	0.6665162341
102	0.6663328737
103	0.6661898766
104	0.6660409852
105	0.6658421049
106	0.6656019405
107	0.6654151107
108	0.6652374108
109	0.66498138
110	0.6648002342
111	0.6646217439
112	0.6644588844
113	0.6643020998
114	0.6640770035
115	0.6638755503
116	0.6637332728
117	0.6635749658
118	0.663375684
119	0.6631916675
120	0.6629999584
121	0.6627803673
122	0.662578481
123	0.6623444954
124	0.6621815289
125	0.6619392914
126	0.6617554188
127	0.6616253228
128	0.6614587868
129	0.6612789506
130	0.6611378459
131	0.6608932544
132	0.6606788411
133	0.660452522
134	0.6603148329
135	0.6601141054
136	0.6598781251
137	0.6596367933
138	0.6593854504
139	0.6592350064
140	0.6590430555
141	0.6588155275
142	0.6586558899
143	0.6584711261
144	0.6582865629
145	0.6580305158
146	0.6578741395
147	0.657690683
148	0.6575770244
149	0.6574120286
150	0.6571519461
151	0.6569521663
152	0.656743625
153	0.6565339072
154	0.6563558467
155	0.6561426575
156	0.6559930894
157	0.6557894731
158	0.6556150547
159	0.6554146651
160	0.6552466016
161	0.6550610639
162	0.6548485421
163	0.6546772677
164	0.6544004735
165	0.6541832682
166	0.6540523987
167	0.6538650204
168	0.6536081951
169	0.653433952
170	0.6532292121
171	0.6529848228
172	0.6527635774
173	0.6526302677
174	0.6524765495
175	0.6523030294
176	0.6520924547
177	0.6518767006
178	0.6516821118
179	0.6515040113
180	0.6512985187
181	0.6511420953
182	0.6509142242
183	0.6506790743
184	0.6505260272
185	0.6502664326
186	0.65003925
187	0.6498616308
188	0.6497667215
189	0.649602839
190	0.6494048827
191	0.6492296765
192	0.6490654563
193	0.648967743
194	0.6487708255
195	0.6485959203
196	0.6484610867
197	0.6483002019
198	0.6481309475
199	0.6478652367
200	0.6477130798
201	0.6476035022
202	0.6474301121
203	0.6472145015
204	0.6470710555
205	0.6469017015
206	0.6467157778
207	0.6465842325
208	0.6463545473
209	0.6462085697
210	0.6459810154
211	0.645806039
212	0.6456013441
213	0.6454467814
214	0.6452998624
215	0.6451445342
216	0.6449852171
217	0.6448528233
218	0.6446579776
219	0.6444723603
220	0.6442855554
221	0.6441198885
222	0.6439824965
223	0.6438430966
224	0.6436369149
