iter	Passed	Remaining
0	37	18073
1	65	15798
2	92	14866
3	118	14236
4	144	13888
5	170	13677
6	198	13560
7	224	13384
8	249	13229
9	277	13206
10	305	13207
11	334	13193
12	365	13290
13	395	13320
14	424	13334
15	452	13290
16	480	13263
17	508	13215
18	534	13148
19	562	13112
20	592	13116
21	620	13097
22	650	13089
23	681	13118
24	712	13130
25	741	13110
26	771	13109
27	800	13094
28	829	13075
29	856	13024
30	886	13007
31	916	12997
32	947	13004
33	976	12982
34	1004	12948
35	1032	12911
36	1061	12885
37	1091	12868
38	1132	12981
39	1162	12958
40	1189	12913
41	1219	12891
42	1247	12848
43	1276	12820
44	1304	12788
45	1333	12756
46	1362	12724
47	1392	12703
48	1419	12661
49	1447	12624
50	1475	12586
51	1503	12548
52	1531	12515
53	1560	12482
54	1588	12444
55	1614	12396
56	1641	12350
57	1668	12309
58	1694	12265
59	1723	12235
60	1755	12229
61	1787	12225
62	1819	12218
63	1849	12195
64	1877	12160
65	1907	12136
66	1946	12174
67	1985	12205
68	2019	12204
69	2049	12177
70	2079	12157
71	2111	12143
72	2141	12118
73	2169	12077
74	2199	12050
75	2227	12015
76	2255	11979
77	2282	11941
78	2313	11918
79	2343	11891
80	2372	11863
81	2400	11829
82	2427	11787
83	2456	11756
84	2483	11716
85	2510	11676
86	2539	11644
87	2576	11652
88	2606	11625
89	2635	11594
90	2662	11558
91	2690	11522
92	2719	11490
93	2745	11448
94	2773	11413
95	2801	11380
96	2827	11340
97	2854	11302
98	2881	11264
99	2907	11221
100	2933	11180
101	2959	11141
102	2985	11100
103	3011	11062
104	3036	11019
105	3062	10977
106	3088	10939
107	3116	10907
108	3142	10869
109	3169	10832
110	3196	10798
111	3222	10759
112	3249	10725
113	3275	10689
114	3302	10653
115	3329	10620
116	3357	10587
117	3393	10584
118	3421	10550
119	3448	10518
120	3475	10482
121	3501	10446
122	3528	10413
123	3554	10375
124	3579	10336
125	3605	10302
126	3645	10305
127	3675	10278
128	3703	10250
129	3732	10220
130	3760	10190
131	3788	10160
132	3817	10131
133	3845	10100
134	3873	10071
135	3903	10046
136	3933	10020
137	3962	9991
138	3991	9963
139	4020	9936
140	4049	9907
141	4078	9879
142	4106	9849
143	4134	9819
144	4163	9790
145	4192	9762
146	4221	9734
147	4251	9709
148	4281	9683
149	4310	9655
150	4338	9624
151	4371	9605
152	4398	9573
153	4426	9542
154	4457	9518
155	4487	9492
156	4514	9460
157	4543	9432
158	4571	9402
159	4598	9369
160	4626	9338
161	4655	9310
162	4687	9288
163	4714	9257
164	4743	9227
165	4772	9200
166	4801	9170
167	4828	9138
168	4854	9105
169	4881	9074
170	4910	9045
171	4941	9021
172	4983	9017
173	5011	8986
174	5040	8958
175	5069	8929
176	5099	8903
177	5130	8878
178	5161	8851
179	5192	8827
180	5226	8806
181	5261	8789
182	5294	8766
183	5330	8749
184	5361	8722
185	5393	8699
186	5423	8672
187	5452	8643
188	5479	8610
189	5505	8576
190	5532	8544
191	5559	8513
192	5586	8480
193	5613	8448
194	5641	8418
195	5694	8426
196	5726	8400
197	5760	8378
198	5795	8358
199	5825	8329
200	5854	8300
201	5884	8272
202	5911	8240
203	5940	8211
204	5967	8179
205	5992	8144
206	6020	8114
207	6046	8081
208	6073	8048
209	6099	8015
210	6125	7983
211	6154	7954
212	6185	7927
213	6214	7898
214	6240	7865
215	6268	7836
216	6301	7811
217	6328	7780
218	6371	7767
219	6403	7742
220	6432	7712
221	6459	7681
222	6489	7654
223	6518	7624
224	6547	7595
225	6574	7563
226	6602	7533
227	6629	7502
228	6657	7471
229	6685	7441
230	6713	7410
231	6742	7381
232	6770	7351
233	6797	7320
234	6825	7290
235	6854	7260
236	6882	7230
237	6910	7201
238	6938	7170
239	6966	7141
240	6999	7115
241	7026	7084
242	7052	7052
243	7078	7020
244	7104	6988
245	7131	6957
246	7156	6925
247	7182	6893
248	7208	6861
249	7236	6831
250	7264	6801
251	7294	6773
252	7323	6744
253	7353	6716
254	7385	6690
255	7412	6659
256	7440	6629
257	7468	6600
258	7497	6571
259	7527	6542
260	7555	6512
261	7583	6483
262	7613	6455
263	7642	6426
264	7670	6396
265	7709	6376
266	7744	6352
267	7777	6326
268	7810	6300
269	7840	6272
270	7870	6244
271	7901	6216
272	7929	6186
273	7961	6159
274	7991	6131
275	8021	6103
276	8049	6073
277	8080	6045
278	8109	6016
279	8142	5990
280	8173	5962
281	8202	5933
282	8230	5904
283	8258	5874
284	8293	5849
285	8325	5821
286	8359	5796
287	8391	5768
288	8420	5739
289	8452	5713
290	8484	5685
291	8512	5655
292	8541	5626
293	8569	5596
294	8598	5567
295	8625	5536
296	8653	5506
297	8681	5477
298	8708	5446
299	8735	5415
300	8771	5390
301	8799	5361
302	8825	5330
303	8849	5298
304	8875	5266
305	8903	5237
306	8934	5209
307	8964	5180
308	8991	5150
309	9037	5131
310	9066	5101
311	9095	5072
312	9124	5043
313	9153	5014
314	9182	4984
315	9211	4955
316	9238	4925
317	9268	4896
318	9298	4867
319	9328	4839
320	9361	4811
321	9390	4782
322	9420	4753
323	9447	4723
324	9476	4694
325	9522	4673
326	9555	4646
327	9586	4617
328	9615	4588
329	9642	4558
330	9670	4528
331	9697	4498
332	9725	4468
333	9752	4438
334	9779	4408
335	9807	4378
336	9836	4349
337	9873	4323
338	9907	4296
339	9934	4266
340	9964	4237
341	9997	4209
342	10030	4181
343	10059	4152
344	10087	4122
345	10114	4092
346	10140	4061
347	10167	4032
348	10194	4001
349	10221	3971
350	10248	3941
351	10276	3912
352	10307	3883
353	10335	3853
354	10366	3825
355	10395	3796
356	10422	3766
357	10453	3737
358	10481	3708
359	10514	3679
360	10543	3650
361	10573	3621
362	10601	3592
363	10631	3563
364	10658	3533
365	10688	3504
366	10720	3476
367	10753	3448
368	10783	3419
369	10814	3390
370	10844	3361
371	10874	3332
372	10903	3303
373	10947	3278
374	10978	3249
375	11008	3220
376	11035	3190
377	11062	3160
378	11089	3130
379	11115	3100
380	11143	3070
381	11168	3040
382	11195	3010
383	11223	2981
384	11250	2951
385	11277	2921
386	11310	2893
387	11340	2864
388	11368	2834
389	11395	2804
390	11423	2775
391	11450	2745
392	11477	2716
393	11504	2686
394	11530	2656
395	11556	2626
396	11583	2596
397	11611	2567
398	11638	2537
399	11665	2508
400	11691	2478
401	11718	2448
402	11744	2418
403	11771	2389
404	11800	2360
405	11828	2330
406	11857	2301
407	11887	2272
408	11918	2243
409	11951	2215
410	11983	2186
411	12013	2157
412	12043	2128
413	12073	2099
414	12102	2070
415	12143	2043
416	12176	2014
417	12204	1985
418	12234	1956
419	12265	1927
420	12296	1898
421	12327	1869
422	12358	1840
423	12387	1811
424	12417	1782
425	12447	1753
426	12476	1723
427	12504	1694
428	12534	1665
429	12563	1636
430	12591	1606
431	12618	1577
432	12646	1547
433	12679	1519
434	12717	1491
435	12756	1462
436	12787	1433
437	12815	1404
438	12842	1374
439	12870	1345
440	12898	1316
441	12927	1286
442	12960	1258
443	12986	1228
444	13015	1199
445	13041	1169
446	13069	1140
447	13096	1110
448	13121	1081
449	13148	1051
450	13176	1022
451	13206	993
452	13234	964
453	13264	934
454	13300	906
455	13331	877
456	13362	847
457	13393	818
458	13433	790
459	13466	761
460	13496	731
461	13523	702
462	13551	673
463	13580	643
464	13609	614
465	13637	585
466	13666	556
467	13698	526
468	13727	497
469	13757	468
470	13785	439
471	13815	409
472	13842	380
473	13871	351
474	13899	321
475	13930	292
476	13959	263
477	13994	234
478	14028	205
479	14057	175
480	14089	146
481	14130	117
482	14171	88
483	14205	58
484	14233	29
485	14262	0
