threshold,n_trades,win_rate_pct,total_pnl_usd,profit_factor,sharpe
0.5,41833,55.41,-74564.61,-0.3673,-359.2468
1.0,41658,55.43,-74191.96,-0.3671,-358.8561
1.5,41461,55.46,-73812.11,-0.3678,-359.1662
2.0,41276,55.5,-73426.18,-0.3677,-358.5853
2.5,41070,55.52,-72993.83,-0.3677,-358.0831
3.0,40857,55.54,-72588.6,-0.3677,-358.0584
3.5,40636,55.58,-72126.19,-0.3674,-357.3265
4.0,40451,55.57,-71766.93,-0.3666,-357.1057
4.5,40275,55.58,-71432.24,-0.3665,-356.7862
5.0,40095,55.61,-71069.46,-0.3665,-356.3915
